#f0e6dd,#f1e6de,#f0e4de,,,,
#e9d9cb,#eadace,#e8d7cd,,,,
#e1ccba,#e3cdbe,#e0cabc,,,,
#dac0a9,#dcc1ae,#d9bdac,,,,
#d3b398,#d5b49d,#d1af9b,,,,
#cba687,#cea88d,#c9a28a,,,,
#c49975,#c79b7d,#c19579,,,,
#bc8d64,#c08f6c,#ba8769,,,,
#b58053,#b9825c,#b27a58,,,,
#a3734b,#a77553,#a06e4f,,,,
#916642,#94684a,#8e6246,,,,
#7f5a3a,#825b40,#7d553e,,,,
#6d4d32,#6f4e37,#6b4935,,,,
#5b402a,#5d412e,#593d2c,,,,
#483321,#4a3425,#473123,,,,
#362619,#38271c,#35251a,,,,
#241a11,#251a12,#241811,,,,
#120d08,#120d09,#120c09,,,,
#f0ebea,#f6f1ed,#f5f0ed,,,,
#e0d7d4,#ece2db,#eae0db,,,,
#d1c3bf,#e3d4c9,#e0d1c9,,,,
#c1afa9,#d9c5b7,#d5c1b7,,,,
#b29c94,#d0b7a5,#cbb2a6,,,,
#a3887f,#c7a992,#c0a294,,,,
#937469,#bd9a80,#b69382,,,,
#846054,#b48c6e,#ab8370,,,,
#744c3e,#aa7d5c,#a1745e,,,,
#653829,#a16f4a,#96644c,,,,
#5b3225,#916443,#875a44,,,,
#512d21,#81593b,#78503d,,,,
#47271d,#714e34,#694635,,,,
#3d2219,#61432c,#5a3c2e,,,,
#331c15,#513825,#4b3226,,,,
#281610,#402c1e,#3c281e,,,,
#1e110c,#302117,#2d1e17,,,,
#140b08,#20160f,#1e140f,,,,
#0a0604,#100b07,#0f0a08,,,,
#eeebe9,#efebe9,#eeeae9,,,,
#dcd7d3,#dfd6d2,#ddd5d2,,,,
#cbc3bd,#cfc2bc,#ccc1bc,,,,
#baafa7,#bfada5,#bbaca6,,,,
#a99b92,#af998f,#ab9790,,,,
#97877c,#9f8578,#9a8279,,,,
#867366,#8f7062,#896d63,,,,
#755f50,#7f5c4b,#78594d,,,,
#634b3a,#6f4735,#674436,,,,
#523724,#5f331e,#562f20,,,,
#4a3220,#562e1b,#4d2a1d,,,,
#422c1d,#4c2918,#45261a,,,,
#392719,#432415,#3c2116,,,,
#312115,#391f12,#331c13,,,,
#291c12,#301a0f,#2b1810,,,,
#21160e,#26140c,#22130d,,,,
#19110b,#1d0f09,#1a0e0a,,,,
